   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    南昌西,         -,     07:05,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      抚州,     07:44,     07:46,       2分,        37,       101, 29.5/35.5,           -/-/-,           -/-
  3,      南丰,     08:15,     08:17,       2分,        68,       181,   53/63.5,           -/-/-,           -/-
  4,      泰宁,     08:45,     08:47,       2分,        98,       260,   76/91.5,           -/-/-,           -/-
  5,      将乐,     09:05,     09:07,       2分,       118,       302,88.5/106.5,           -/-/-,           -/-
  6,    三明北,     09:26,     09:28,       2分,       139,       352,   103/124,           -/-/-,           -/-
  7,      尤溪,     09:47,     09:49,       2分,       160,       394,115.5/138.5,           -/-/-,           -/-
  8,      福州,     10:43,     10:48,       5分,       216,       547,160.5/192.5,           -/-/-,           -/-
  9,      宁德,     11:29,     11:32,       3分,       262,       643, 188.5/226,           -/-/-,           -/-
 10,    太姥山,     12:04,     12:06,       2分,       297,       736, 215.5/259,           -/-/-,           -/-
 11,      苍南,     12:27,     12:29,       2分,       320,       829,232.5/278.5,           -/-/-,           -/-
 12,      瑞安,     12:44,     12:46,       2分,       337,       863,242.5/290.5,           -/-/-,           -/-
 13,    温州南,     12:59,     13:01,       2分,       352,       886,   249/299,           -/-/-,           -/-
 14,    雁荡山,     13:29,     13:31,       2分,       382,       962, 271/325.5,           -/-/-,           -/-
 15,      台州,     13:50,     13:52,       2分,       403,      1009,   285/342,           -/-/-,           -/-
 16,      宁波,     14:48,         -,          ,       463,      1135,   334/404,           -/-/-,           -/-
