   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    北京西,         -,     07:45,         -,         -,         -,         -,               -,              -
  2,    涿州东,     08:11,     08:14,      03分,        26,         0,    18.5/-,           -/-/-,            -/-
  3,    保定东,     08:37,     08:44,      07分,        52,         0,    42.5/-,           -/-/-,            -/-
  4,  正定机场,     09:15,     09:17,      02分,        90,         0,    75.5/-,           -/-/-,            -/-
  5,    石家庄,     09:31,     09:34,      03分,       106,         0,    86.5/-,           -/-/-,            -/-
  6,    阳泉北,     10:14,     10:17,      03分,       149,         0,   116.5/-,           -/-/-,            -/-
  7,    太原南,     11:03,     11:13,      10分,       198,         0,   154.5/-,           -/-/-,            -/-
  8,      晋中,     11:25,     11:27,      02分,       220,         0,   160.5/-,           -/-/-,            -/-
  9,    太谷西,     11:41,     11:43,      02分,       236,         0,     169/-,           -/-/-,            -/-
 10,    祁县东,     11:54,     11:56,      02分,       249,         0,     175/-,           -/-/-,            -/-
 11,  平遥古城,     12:08,     12:10,      02分,       263,         0,     183/-,           -/-/-,            -/-
 12,    介休东,     12:21,     12:23,      02分,       276,         0,   188.5/-,           -/-/-,            -/-
 13,    临汾西,     13:05,     13:07,      02分,       320,         0,   226.5/-,           -/-/-,            -/-
 14,    侯马西,     13:28,     13:30,      02分,       343,         0,   244.5/-,           -/-/-,            -/-
 15,    运城北,     13:53,     13:53,      00分,       368,         0,   264.5/-,           -/-/-,            -/-
