   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    南宁东,         -,     14:42,         -,         -,         -,         -,               -,              -
  2,      宾阳,     15:13,     15:15,      02分,        31,         0,      24/-,           -/-/-,            -/-
  3,      贵港,     15:38,     15:40,      02分,        56,         0,      41/-,           -/-/-,            -/-
  4,      桂平,     16:04,     16:12,      08分,        82,         0,      58/-,           -/-/-,            -/-
  5,      藤县,     16:46,     16:48,      02分,       124,         0,    85.5/-,           -/-/-,            -/-
  6,    梧州南,     17:01,     17:05,      04分,       139,         0,      93/-,           -/-/-,            -/-
  7,    云浮东,     17:45,     17:47,      02分,       183,         0,   126.5/-,           -/-/-,            -/-
  8,    广州南,     18:44,     18:44,      00分,       242,         0,     169/-,           -/-/-,            -/-
