   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    南宁东,         -,     12:58,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      宾阳,     13:28,     13:30,       2分,        30,        83,     24/29,           -/-/-,           -/-
  3,    来宾北,     13:55,     13:57,       2分,        57,       106,   43/51.5,           -/-/-,           -/-
  4,      柳州,     14:26,     14:29,       3分,        88,       212,   62/74.5,           -/-/-,           -/-
  5,    鹿寨北,     14:57,     14:59,       2分,       119,       269,   79/94.5,           -/-/-,           -/-
  6,    永福南,     15:21,     15:23,       2分,       143,       324,    95/114,           -/-/-,           -/-
  7,      桂林,     15:43,     15:46,       3分,       165,       368, 108/129.5,           -/-/-,           -/-
  8,    桂林北,     16:00,     16:05,       5分,       182,       376,   110/132,           -/-/-,           -/-
  9,      阳朔,     16:37,     16:39,       2分,       219,       443, 130.5/157,           -/-/-,           -/-
 10,      恭城,     16:52,     16:54,       2分,       234,       477, 141/169.5,           -/-/-,           -/-
 11,    钟山西,     17:15,     17:17,       2分,       257,       537,159.5/191.5,           -/-/-,           -/-
 12,      贺州,     17:27,         -,          ,       269,       561, 167/200.5,           -/-/-,           -/-
