   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    海口东,         -,     10:00,         -,         -,         -,         -,               -,              -
  2,      美兰,     10:08,     10:10,      02分,         8,         0,     5.5/-,           -/-/-,            -/-
  3,      文昌,     10:30,     10:31,      01分,        30,         0,    18.5/-,           -/-/-,            -/-
  4,      万宁,     11:06,     11:07,      01分,        66,         0,    48.5/-,           -/-/-,            -/-
  5,      陵水,     11:25,     11:26,      01分,        85,         0,    64.5/-,           -/-/-,            -/-
  6,      三亚,     11:50,     11:50,      00分,       110,         0,    83.5/-,           -/-/-,            -/-
