   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    桂林北,         -,     07:59,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      恭城,     08:40,     08:42,       2分,        41,       101,       -/-,           -/-/-,           -/-
  3,      贺州,     09:09,     09:11,       2分,        70,       185,       -/-,           -/-/-,           -/-
  4,    肇庆东,     10:06,     10:08,       2分,       127,       370,       -/-,           -/-/-,           -/-
  5,    三水南,     10:19,     10:21,       2分,       140,       395,       -/-,           -/-/-,           -/-
  6,    广州南,     10:50,         -,          ,       171,       446,       -/-,           -/-/-,           -/-
