   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      武汉,         -,     07:06,         -,         -,         -,         -,               -,              -
  2,      汉口,     07:24,     07:36,      12分,       444,         0,     9.5/-,           -/-/-,            -/-
  3,      潜江,     08:26,     08:29,      03分,       506,         0,    39.5/-,           -/-/-,            -/-
  4,      荆州,     08:55,     08:58,      03分,       535,         0,    59.5/-,           -/-/-,            -/-
  5,    宜昌东,     09:30,     09:30,      00分,       570,         0,    84.5/-,           -/-/-,            -/-
