   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      汉口,         -,     16:27,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,    麻城北,     17:16,     17:18,       2分,        49,       131, 31.5/38.5,           -/-/-,           -/-
  3,      六安,     18:14,     18:16,       2分,       107,       292, 79.5/95.5,           -/-/-,           -/-
  4,    合肥南,     18:45,     18:56,      11分,       138,       379,105.5/126.5,           -/-/-,           -/-
  5,      全椒,     19:32,     19:44,      12分,       185,       480,146.5/176.5,           -/-/-,           -/-
  6,    南京南,     20:06,     20:09,       3分,       219,       536,   166/198,           -/-/-,           -/-
  7,      镇江,     20:39,     20:41,       2分,       252,       610, 189/225.5,           -/-/-,           -/-
  8,      常州,     21:06,     21:10,       4分,       279,       682,   211/252,           -/-/-,           -/-
  9,      无锡,     21:27,     21:29,       2分,       300,       721, 223/266.5,           -/-/-,           -/-
 10,      苏州,     21:46,     21:48,       2分,       319,       763,   236/382,           -/-/-,           -/-
 11,    昆山南,     22:02,     22:04,       2分,       335,       779,       -/-,           -/-/-,           -/-
 12,  上海虹桥,     22:26,         -,          ,       359,       829,   262/413,           -/-/-,           -/-
