   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      泉州,         -,     13:11,         -,         -,         -,         -,               -,              -
  2,    厦门北,     13:36,     13:40,      04分,        25,         0,    20.5/-,           -/-/-,            -/-
  3,      饶平,     14:39,     14:41,      02分,        88,         0,      70/-,           -/-/-,            -/-
  4,      潮汕,     14:58,     15:00,      02分,       107,         0,      70/-,           -/-/-,            -/-
  5,      普宁,     15:25,     15:27,      02分,       134,         0,    97.5/-,           -/-/-,            -/-
  6,      葵潭,     15:42,     15:44,      02分,       151,         0,     107/-,           -/-/-,            -/-
  7,      陆丰,     15:58,     16:00,      02分,       167,         0,   115.5/-,           -/-/-,            -/-
  8,      惠东,     16:36,     16:38,      02分,       205,         0,     146/-,           -/-/-,            -/-
  9,    深圳北,     17:20,     17:20,      00分,       249,         0,   171.5/-,           -/-/-,            -/-
