   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      泉州,         -,     07:13,         -,         -,         -,         -,               -,              -
  2,    厦门北,     07:38,     07:50,      12分,        25,         0,    20.5/-,           -/-/-,            -/-
  3,      漳州,     08:09,     08:11,      02分,        56,         0,    32.5/-,           -/-/-,            -/-
  4,      饶平,     08:57,     08:59,      02分,       104,         0,      70/-,           -/-/-,            -/-
  5,      潮汕,     09:16,     09:18,      02分,       123,         0,      70/-,           -/-/-,            -/-
  6,      普宁,     09:43,     09:45,      02分,       150,         0,    97.5/-,           -/-/-,            -/-
  7,      汕尾,     10:21,     10:23,      02分,       188,         0,     126/-,           -/-/-,            -/-
  8,    惠州南,     10:58,     11:00,      02分,       225,         0,     155/-,           -/-/-,            -/-
  9,    深圳北,     11:30,     11:30,      00分,       257,         0,   171.5/-,           -/-/-,            -/-
