   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      潮汕,         -,     11:40,         -,         -,         -,         -,               -,              -
  2,      潮阳,     11:52,     11:54,      02分,        12,         0,     7.5/-,           -/-/-,            -/-
  3,      陆丰,     12:31,     12:33,      02分,        51,         0,    33.5/-,           -/-/-,            -/-
  4,      鲘门,     12:59,     13:01,      02分,        79,         0,      53/-,           -/-/-,            -/-
  5,  深圳坪山,     13:32,     13:34,      02分,       112,         0,      79/-,           -/-/-,            -/-
  6,    深圳北,     14:01,     14:01,      00分,       141,         0,    89.5/-,           -/-/-,            -/-
