   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    南宁东,         -,     10:15,         -,         -,         -,         -,               -,              -
  2,    来宾北,     11:06,     11:08,      02分,        51,         0,      43/-,           -/-/-,            -/-
  3,      柳州,     11:37,     11:40,      03分,        82,         0,      62/-,           -/-/-,            -/-
  4,      桂林,     12:42,     12:47,      05分,       147,         0,     108/-,           -/-/-,            -/-
  5,    桂林北,     13:01,     13:05,      04分,       166,         0,     110/-,           -/-/-,            -/-
  6,    三江南,     13:40,     13:42,      02分,       205,         0,   138.5/-,           -/-/-,            -/-
  7,    三都县,     14:39,     14:41,      02分,       264,         0,   195.5/-,           -/-/-,            -/-
  8,    都匀东,     14:54,     14:56,      02分,       279,         0,   203.5/-,           -/-/-,            -/-
  9,    贵定县,     15:15,     15:17,      02分,       300,         0,   217.5/-,           -/-/-,            -/-
 10,    龙洞堡,     15:37,     15:40,      03分,       322,         0,   233.5/-,           -/-/-,            -/-
 11,    贵阳北,     15:58,     15:58,      00分,       343,         0,   242.5/-,           -/-/-,            -/-
