   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    贵阳北,         -,     17:35,         -,         -,         -,         -,               -,              -
  2,    龙洞堡,     17:51,     17:53,      02分,        16,         0,     8.5/-,           -/-/-,            -/-
  3,    都匀东,     18:26,     18:28,      02分,        51,         0,      39/-,           -/-/-,            -/-
  4,    三都县,     18:41,     18:43,      02分,        66,         0,      47/-,           -/-/-,            -/-
  5,    三江南,     19:39,     19:41,      02分,       124,         0,   103.5/-,           -/-/-,            -/-
  6,    桂林西,     20:11,     20:15,      04分,       156,         0,   130.5/-,           -/-/-,            -/-
  7,      阳朔,     20:46,     20:48,      02分,       191,         0,   150.5/-,           -/-/-,            -/-
  8,      恭城,     21:01,     21:03,      02分,       206,         0,     161/-,           -/-/-,            -/-
  9,    钟山西,     21:23,     21:25,      02分,       228,         0,   179.5/-,           -/-/-,            -/-
 10,      贺州,     21:35,     21:39,      04分,       240,         0,     187/-,           -/-/-,            -/-
 11,    肇庆东,     22:34,     22:36,      02分,       299,         0,     244/-,           -/-/-,            -/-
 12,    广州南,     23:12,     23:12,      00分,       337,         0,   267.5/-,           -/-/-,            -/-
