   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      汉口,         -,     09:18,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,    红安西,     09:53,     09:56,       3分,        35,        72, 20.5/25.5,           -/-/-,           -/-
  3,    麻城北,     10:13,     10:18,       5分,        55,       111, 31.5/38.5,           -/-/-,           -/-
  4,      金寨,     10:58,     11:00,       2分,       101,       220, 64.5/77.5,           -/-/-,           -/-
  5,      六安,     11:20,     11:22,       2分,       122,       272, 79.5/95.5,           -/-/-,           -/-
  6,    合肥南,     11:51,     11:58,       7分,       153,       672,105.5/126.5,           -/-/-,           -/-
  7,      肥东,     12:09,     12:11,       2分,       171,       691, 111.5/134,           -/-/-,           -/-
  8,      全椒,     12:40,     12:42,       2分,       202,       770,146.5/176.5,           -/-/-,           -/-
  9,    南京南,     13:04,     13:19,      15分,       226,       826,   166/198,           -/-/-,           -/-
 10,    镇江南,     13:40,     14:06,      26分,       262,       891,   186/230,           -/-/-,           -/-
 11,    常州北,     14:26,     14:28,       2分,       308,       956,   206/262,           -/-/-,           -/-
 12,    无锡东,     14:46,     14:48,       2分,       328,      1013,223.5/290.5,           -/-/-,           -/-
 13,    苏州北,     14:59,     15:01,       2分,       341,      1040, 232/303.5,           -/-/-,           -/-
 14,  上海虹桥,     15:27,         -,          ,       369,       811, 257/343.5,           -/-/-,           -/-
