   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,齐齐哈尔南,         -,     10:22,         -,         -,         -,         -,               -,              -
  2,    大庆东,     11:01,     11:03,      02分,        39,         0,      46/-,           -/-/-,            -/-
  3,    哈尔滨,     11:48,     11:50,      02分,        86,         0,     100/-,           -/-/-,            -/-
  4,  哈尔滨西,     12:02,     12:02,      00分,       100,         0,     100/-,           -/-/-,            -/-
