   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    重庆北,         -,     07:15,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,    涪陵北,     07:52,     07:54,       2分,        37,        92,     20/24,           -/-/-,           -/-
  3,      丰都,     08:13,     08:15,       2分,        58,       134, 53.5/64.5,           -/-/-,           -/-
  4,      利川,     09:08,     09:10,       2分,       113,       278,       -/-,           -/-/-,           -/-
  5,      恩施,     09:42,     09:48,       6分,       147,       339,  99.5/119,           -/-/-,           -/-
  6,    宜昌东,     11:35,     11:39,       4分,       260,       553,   162/195,           -/-/-,           -/-
  7,      荆州,     12:11,     12:14,       3分,       296,       641, 188/225.5,           -/-/-,           -/-
  8,      潜江,     12:40,     12:42,       2分,       325,       711,       -/-,           -/-/-,           -/-
  9,    天门南,     13:02,     13:04,       2分,       347,       762,       -/-,           -/-/-,           -/-
 10,      汉川,     13:19,     13:21,       2分,       364,       799,   234/281,           -/-/-,           -/-
 11,      汉口,     13:47,     13:53,       6分,       392,       845,247.5/297.5,           -/-/-,           -/-
 12,    红安西,     14:26,     14:29,       3分,       431,       917,       -/-,           -/-/-,           -/-
 13,    麻城北,     14:47,     14:50,       3分,       452,       956,280.5/336.5,           -/-/-,           -/-
 14,      金寨,     15:29,     15:31,       2分,       494,      1065,   312/375,           -/-/-,           -/-
 15,      六安,     15:51,     15:54,       3分,       516,      1117, 327.5/393,           -/-/-,           -/-
 16,    合肥南,     16:23,     16:36,      13分,       548,      1204, 353/423.5,           -/-/-,           -/-
 17,      全椒,     17:12,     17:29,      17分,       597,      1305, 394.5/474,           -/-/-,           -/-
 18,    南京南,     17:51,     17:55,       4分,       636,      1361, 413.5/495,           -/-/-,           -/-
 19,      镇江,     18:27,     18:29,       2分,       672,      1435,436.5/522.5,           -/-/-,           -/-
 20,      常州,     18:56,     18:58,       2分,       701,      1507, 458.5/549,           -/-/-,           -/-
 21,      无锡,     19:15,     19:17,       2分,       720,      1546,470.5/563.5,           -/-/-,           -/-
 22,      苏州,     19:34,     19:36,       2分,       739,      1588, 483.5/579,           -/-/-,           -/-
 23,    昆山南,     19:50,     19:52,       2分,       755,      1622, 494/591.5,           -/-/-,           -/-
 24,  上海虹桥,     20:15,         -,          ,       780,      1672, 509.5/610,           -/-/-,           -/-
