   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    南昌西,         -,     08:12,         -,         -,         -,         -,               -,              -
  2,      抚州,     08:49,     08:51,      02分,        37,         0,    29.5/-,           -/-/-,            -/-
  3,      南城,     09:10,     09:12,      02分,        58,         0,    43.5/-,           -/-/-,            -/-
  4,      南丰,     09:26,     09:28,      02分,        74,         0,      53/-,           -/-/-,            -/-
  5,  建宁县北,     09:47,     09:49,      02分,        95,         0,    67.5/-,           -/-/-,            -/-
  6,      泰宁,     10:02,     10:04,      02分,       110,         0,      76/-,           -/-/-,            -/-
  7,      将乐,     10:22,     10:24,      02分,       130,         0,    88.5/-,           -/-/-,            -/-
  8,    三明北,     10:43,     10:47,      04分,       151,         0,     103/-,           -/-/-,            -/-
  9,      尤溪,     11:06,     11:08,      02分,       174,         0,   115.5/-,           -/-/-,            -/-
 10,      永泰,     11:41,     11:43,      02分,       209,         0,   143.5/-,           -/-/-,            -/-
 11,      泉州,     12:28,     12:30,      02分,       256,         0,     181/-,           -/-/-,            -/-
 12,    厦门北,     12:55,     13:00,      05分,       283,         0,     202/-,           -/-/-,            -/-
 13,      漳州,     13:19,     13:21,      02分,       307,         0,     214/-,           -/-/-,            -/-
 14,      饶平,     14:05,     14:07,      02分,       353,         0,     251/-,           -/-/-,            -/-
 15,      潮汕,     14:24,     14:26,      02分,       372,         0,     251/-,           -/-/-,            -/-
 16,      潮阳,     14:39,     14:42,      03分,       387,         0,     271/-,           -/-/-,            -/-
 17,      陆丰,     15:19,     15:21,      02分,       427,         0,   296.5/-,           -/-/-,            -/-
 18,    惠州南,     16:07,     16:09,      02分,       475,         0,     336/-,           -/-/-,            -/-
 19,  深圳坪山,     16:19,     16:21,      02分,       487,         0,     342/-,           -/-/-,            -/-
 20,    深圳北,     16:49,     16:49,      00分,       517,         0,   352.5/-,           -/-/-,            -/-
