   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    广州南,         -,     11:40,         -,         -,         -,         -,               -,              -
  2,    三水南,     12:07,     12:09,      02分,        27,         0,    15.5/-,           -/-/-,            -/-
  3,    南江口,     12:55,     12:57,      02分,        75,         0,    54.5/-,           -/-/-,            -/-
  4,    梧州南,     13:25,     13:29,      04分,       105,         0,      76/-,           -/-/-,            -/-
  5,    平南南,     14:01,     14:09,      08分,       141,         0,   100.5/-,           -/-/-,            -/-
  6,      桂平,     14:24,     14:26,      02分,       164,         0,   110.5/-,           -/-/-,            -/-
  7,      贵港,     14:50,     14:52,      02分,       190,         0,     128/-,           -/-/-,            -/-
  8,    南宁东,     15:42,     15:42,      00分,       242,         0,     169/-,           -/-/-,            -/-
