   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      安康,         -,     16:56,         -,         -,         -,         -,               -,              -
  2,      旬阳,     17:36,     17:38,      02分,        59,         0,      11/-,        57/60/65,        83.5/95
  3,    白河县,     18:42,     18:47,      05分,       125,         0,    19.5/-,      65.5/68/74,       99.5/113
  4,      十堰,     19:48,     19:52,      04分,       191,         0,    32.5/-,      78.5/82/89,      118.5/134
  5,    武当山,     20:10,     20:14,      04分,       213,         0,    37.5/-,      83.5/87/95,      125.5/142
  6,      襄阳,     22:06,     22:30,      24分,       329,         0,    53.5/-,    99.5/104/113,      152.5/172
  7,      南阳,     00:10,     00:13,      03分,       453,         0,      72/-,     129/134/146,        197/222
  8,  平顶山西,     01:43,     02:07,      24分,       546,         0,      86/-,     152/158/172,        233/263
  9,    平顶山,     02:44,     03:14,      30分,       607,         0,      86/-,     152/158/172,        233/263
 10,      漯河,     04:26,     05:04,      38分,       709,         0,      98/-,     171/178/193,        263/297
 11,      许昌,     05:59,     06:03,      04分,       802,         0,     105/-,     184/191/208,        285/321
 12,      长葛,     06:18,     06:22,      04分,       821,         0,     105/-,     184/191/208,        285/321
 13,      郑州,     07:20,     07:40,      20分,       883,         0,     115/-,     200/208/226,        312/352
 14,      新乡,     08:38,     08:48,      10分,       961,         0,     124/-,     215/224/243,        336/379
 15,      鹤壁,     09:45,     09:48,      03分,      1028,         0,   128.5/-,   222.5/231/252,      348.5/393
 16,      安阳,     10:17,     10:20,      03分,      1060,         0,   135.5/-,   232.5/242/263,      360.5/406
 17,      邯郸,     10:57,     11:03,      06分,      1100,         0,   141.5/-,   244.5/254/276,      381.5/430
 18,      邢台,     11:34,     11:45,      11分,      1137,         0,   148.5/-,   254.5/265/288,      398.5/449
 19,    石家庄,     12:56,     13:08,      12分,      1219,         0,   156.5/-,   268.5/279/303,      422.5/476
 20,      保定,     14:28,     14:32,      04分,      1311,         0,   173.5/-,   296.5/308/335,      464.5/524
 21,    北京西,     16:13,     16:13,      00分,      1416,         0,   189.5/-,   322.5/335/364,      504.5/569
