   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      上海,         -,     20:16,         -,         -,         -,         -,               -,              -
  2,      苏州,     21:10,     21:15,      05分,        54,         0,    14.5/-,      60.5/63/69,       90.5/102
  3,      常州,     22:15,     22:18,      03分,       119,         0,    24.5/-,      70.5/74/80,      108.5/123
  4,      南京,     23:56,     00:07,      11分,       220,         0,    46.5/-,     92.5/97/105,      140.5/159
  5,    马鞍山,     01:20,     01:27,      07分,       304,         0,    53.5/-,    99.5/104/113,      152.5/172
  6,      芜湖,     02:21,     02:27,      06分,       365,         0,    62.5/-,   110.5/115/125,      166.5/188
  7,      宣城,     03:32,     03:37,      05分,       436,         0,      69/-,     123/128/139,        186/210
  8,      宁国,     04:14,     04:18,      04分,       478,         0,      75/-,     133/139/151,        205/231
  9,    绩溪县,     06:03,     06:09,      06分,       587,         0,      86/-,     152/158/172,        233/263
 10,      歙县,     06:36,     06:39,      03分,       620,         0,      91/-,     158/165/179,        243/274
 11,      黄山,     07:11,     07:11,      00分,       655,         0,      91/-,     158/165/179,        243/274
