   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      成都,         -,     19:08,         -,         -,         -,         -,               -,              -
  2,      绵阳,     20:37,     20:45,      08分,        89,         0,    18.5/-,      64.5/67/73,       97.5/110
  3,      广元,     00:04,     00:21,      17分,     -1144,         0,    46.5/-,     92.5/97/105,      140.5/159
  4,      略阳,     02:55,     02:57,      02分,      -973,         0,    64.5/-,   115.5/120/131,      175.5/198
  5,      宝鸡,     08:31,     08:51,      20分,      -637,         0,      91/-,     158/165/179,        243/274
  6,      陇县,     10:20,     10:24,      04分,      -528,         0,     102/-,     178/185/201,        274/309
  7,    安口窑,     11:34,     11:36,      02分,      -454,         0,     112/-,     194/202/219,        301/339
  8,      平凉,     12:26,     12:32,      06分,      -402,         0,     115/-,     200/208/226,        312/352
  9,      固原,     14:05,     14:10,      05分,      -303,         0,     124/-,     215/224/243,        336/379
 10,      同心,     15:49,     15:51,      02分,      -199,         0,   138.5/-,   238.5/248/270,      372.5/420
 11,      中卫,     17:37,     17:52,      15分,       -91,         0,   148.5/-,   254.5/265/288,      398.5/449
 12,      武威,     22:02,     22:08,      06分,       174,         0,   173.5/-,   296.5/308/335,      464.5/524
 13,      金昌,     22:52,     22:57,      05分,       224,         0,   180.5/-,   310.5/323/351,      488.5/551
 14,      张掖,     01:00,     01:06,      06分,     -1088,         0,     198/-,     337/350/381,        530/597
 15,      清水,     02:37,     02:48,      11分,      -991,         0,     206/-,     353/367/399,        556/627
 16,      酒泉,     03:32,     03:39,      07分,      -936,         0,     213/-,     363/377/410,        572/645
 17,    嘉峪关,     03:58,     04:13,      15分,      -910,         0,     217/-,     370/385/418,        585/659
 18,    疏勒河,     05:57,     06:03,      06分,      -791,         0,     229/-,     389/404/439,        613/691
 19,      柳园,     08:18,     08:26,      08分,      -650,         0,     243/-,     414/430/468,        654/737
 20,      哈密,     11:48,     12:17,      29分,      -440,         0,   268.5/-, 455.5/473/487.5,      718.5/810
 21,      鄯善,     14:55,     15:05,      10分,      -253,         0,   290.5/-,   491.5/511/555,      775.5/874
 22,    吐鲁番,     16:32,     16:42,      10分,      -156,         0,   299.5/-,   507.5/527/573,      802.5/904
 23,      马兰,     18:51,     18:55,      04分,       -17,         0,   313.5/-,   529.5/550/598,      834.5/940
 24,      和硕,     19:24,     19:28,      04分,        16,         0,     317/-,     536/557/605,        849/957
 25,      焉耆,     19:57,     20:00,      03分,        49,         0,     317/-,     536/557/605,        849/957
 26,    库尔勒,     20:39,     20:39,      00分,        91,         0,     323/-,     546/567/616,        863/972
