   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,  乌兰浩特,         -,     15:02,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,    二龙屯,     17:57,     17:59,       2分,       175,       184,    28.5/-,  74.5/79.5/82.5,   113.5/119.5
  3,  哈日努拉,     18:20,     18:22,       2分,       198,       204,    32.5/-,  78.5/83.5/86.5,   118.5/124.5
  4,    珠斯花,     18:59,     19:18,      19分,       237,       240,    37.5/-,  83.5/88.5/91.5,   125.5/131.5
  5,  霍林郭勒,     19:25,     19:29,       4分,       263,       243,    40.5/-,  86.5/91.5/94.5,   129.5/135.5
  6,  白音华南,     21:50,     21:52,       2分,       408,       394,    54.5/-,100.5/105.5/108.5,   155.5/161.5
  7,    西乌旗,     22:58,     23:00,       2分,       476,       482,      69/-,     123/126/130,       186/194
  8,  锡林浩特,     01:27,     01:47,      20分,       625,       660,      91/-,     158/164/169,       243/253
  9,  桑根达来,     04:22,     04:28,       6分,       800,       813,     105/-,     184/190/196,       285/297
 10,  正镶白旗,     05:48,     05:54,       6分,       886,       908,     119/-,     207/215/221,       324/337
 11,      化德,     07:12,     07:15,       3分,       970,      1017,   128.5/-,222.5/230.5/237.5,   348.5/363.5
 12,      商都,     08:01,     08:04,       3分,      1019,      1079,   138.5/-,238.5/246.5/255.5,   372.5/388.5
 13,    集宁南,     09:50,     10:08,      18分,      1128,      1163,   148.5/-,254.5/263.5/272.5,   398.5/415.5
 14,呼和浩特东,     11:38,         -,          ,      1236,      1321,   163.5/-,280.5/289.5/299.5,   438.5/456.5
