   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      大连,         -,     13:36,         -,         -,         -,         -,               -,              -
  2,      金州,     14:02,     14:05,      03分,        26,         0,       9/-,        55/58/63,        81.5/92
  3,    普兰店,     14:38,     14:41,      03分,        62,         0,    12.5/-,      58.5/61/66,       89.5/101
  4,    瓦房店,     15:02,     15:05,      03分,        86,         0,    16.5/-,      62.5/65/71,       96.5/109
  5,    熊岳城,     15:55,     15:58,      03分,       139,         0,    28.5/-,      74.5/78/85,      112.5/127
  6,      盖州,     16:19,     16:22,      03分,       163,         0,    32.5/-,      78.5/82/89,      118.5/134
  7,    大石桥,     16:48,     16:53,      05分,       192,         0,    37.5/-,      83.5/87/95,      125.5/142
  8,      西柳,     17:17,     17:20,      03分,       221,         0,    43.5/-,     89.5/93/101,      135.5/153
  9,      盘锦,     18:02,     18:05,      03分,       266,         0,    51.5/-,    97.5/102/110,      149.5/169
 10,    沟帮子,     18:33,     18:35,      02分,       297,         0,    53.5/-,    99.5/104/113,      152.5/172
 11,      锦州,     19:19,     19:25,      06分,       343,         0,    64.5/-,   115.5/120/131,      175.5/198
 12,    葫芦岛,     19:58,     20:00,      02分,       382,         0,      72/-,     129/134/146,        197/222
 13,      绥中,     20:44,     20:46,      02分,       428,         0,      78/-,     139/145/157,        214/242
 14,    山海关,     21:34,     21:44,      10分,       478,         0,      86/-,     152/158/172,        233/263
 15,    秦皇岛,     22:06,     22:13,      07分,       510,         0,      91/-,     158/165/179,        243/274
 16,      唐山,     00:32,     00:34,      02分,       656,         0,     105/-,     184/191/208,        285/321
 17,      天津,     01:59,     02:06,      07分,       743,         0,     119/-,     207/215/234,        324/365
 18,      衡水,     05:22,     05:24,      02分,       946,         0,   148.5/-,   254.5/265/288,      398.5/449
 19,    清河城,     06:14,     06:26,      12分,      -442,         0,   156.5/-,   268.5/279/303,      422.5/476
 20,      聊城,     07:23,     07:49,      26分,      -373,         0,   163.5/-,   280.5/292/317,      438.5/494
 21,      郓城,     08:48,     08:51,      03分,      -288,         0,   173.5/-,   296.5/308/335,      464.5/524
 22,      菏泽,     09:26,     09:29,      03分,      -250,         0,   180.5/-,   310.5/323/351,      488.5/551
 23,      商丘,     10:45,     10:52,      07分,      1269,         0,     192/-,     328/341/371,        515/580
 24,      民权,     11:29,     11:42,      13分,      -127,         0,     192/-,     328/341/371,        515/580
 25,      开封,     12:47,     13:04,      17分,       -49,         0,     201/-,     343/357/387,        542/611
 26,      郑州,     13:50,     13:50,      00分,      1454,         0,     206/-,     353/367/399,        556/627
