   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      昆明,         -,     11:02,         -,         -,         -,         -,               -,              -
  2,      曲靖,     12:51,     12:57,      06分,       109,         0,       0/-,           0/0/0,            0/0
  3,      宣威,     13:55,     14:01,      06分,       173,         0,       0/-,           0/0/0,            0/0
  4,    六盘水,     15:31,     15:40,      09分,       269,         0,       0/-,           0/0/0,            0/0
  5,      安顺,     17:44,     17:50,      06分,       402,         0,       0/-,           0/0/0,            0/0
  6,      贵阳,     19:25,     19:44,      19分,       503,         0,       0/-,           0/0/0,            0/0
  7,      凯里,     22:06,     22:14,      08分,       664,         0,       0/-,           0/0/0,            0/0
  8,      玉屏,     00:24,     00:38,      14分,       802,         0,       0/-,           0/0/0,            0/0
  9,      怀化,     02:13,     02:21,      08分,       911,         0,       0/-,           0/0/0,            0/0
 10,      新化,     05:02,     05:05,      03分,      1080,         0,       0/-,           0/0/0,            0/0
 11,      娄底,     06:32,     06:45,      13分,      1170,         0,       0/-,           0/0/0,            0/0
 12,      湘乡,     07:32,     07:37,      05分,      1230,         0,       0/-,           0/0/0,            0/0
 13,      湘潭,     08:29,     08:34,      05分,      1287,         0,       0/-,           0/0/0,            0/0
 14,      株洲,     09:43,     10:06,      23分,      1361,         0,       0/-,           0/0/0,            0/0
 15,      醴陵,     10:36,     10:41,      05分,      1414,         0,       0/-,           0/0/0,            0/0
 16,      萍乡,     11:05,     11:11,      06分,      1443,         0,       0/-,           0/0/0,            0/0
 17,      宜春,     11:54,     12:00,      06分,      1492,         0,       0/-,           0/0/0,            0/0
 18,      新余,     12:34,     12:40,      06分,      1532,         0,       0/-,           0/0/0,            0/0
 19,      樟树,     13:32,     13:35,      03分,      1590,         0,       0/-,           0/0/0,            0/0
 20,      丰城,     13:52,     13:55,      03分,      1610,         0,       0/-,           0/0/0,            0/0
 21,      向塘,     14:21,     14:40,      19分,      1639,         0,       0/-,           0/0/0,            0/0
 22,      九江,     16:25,     16:44,      19分,      1763,         0,       0/-,           0/0/0,            0/0
 23,      黄梅,     17:31,     17:34,      03分,       389,         0,     236/-,     399/415/451,        629/709
 24,    天柱山,     18:38,     18:41,      03分,       456,         0,     240/-,     408/424/461,        640/721
 25,    安庆西,     19:05,     19:12,      07分,      1923,         0,       0/-,           0/0/0,            0/0
 26,      桐城,     19:38,     19:44,      06分,      1956,         0,       0/-,           0/0/0,            0/0
 27,      庐江,     20:14,     20:21,      07分,       552,         0,     251/-,     426/443/481,        673/758
 28,      合肥,     21:43,     21:43,      00分,      2081,         0,       0/-,           0/0/0,            0/0
