   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      成都,         -,     11:13,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      遂宁,     13:43,     13:46,       3分,       150,       148,    23.5/-,  59.5/64.5/67.5,    94.5/100.5
  3,      南充,     14:29,     14:38,       9分,       196,       215,    36.5/-,  71.5/75.5/77.5,   110.5/114.5
  4,      蓬安,     15:05,     15:08,       3分,       232,       256,    46.5/-,  82.5/86.5/89.5,   126.5/130.5
  5,      达州,     16:48,     17:00,      12分,       335,       374,    64.5/-,114.5/118.5/121.5,   178.5/183.5
  6,      宣汉,     17:40,     17:53,      13分,       387,       422,    72.5/-,141.5/146.5/150.5,   214.5/221.5
  7,      万源,     18:49,     18:51,       2分,       456,       499,      81/-,     159/165/170,       244/252
  8,      紫阳,     18:56,     18:59,       3分,       463,       593,      97/-,     177/182/187,       270/280
  9,      安康,     20:21,     20:40,       9分,       548,       650,     104/-,     190/194/200,       290/300
 10,      旬阳,     21:20,     21:29,       9分,       607,       694,     107/-,     196/200/206,       301/310
 11,    白河县,     22:51,     23:02,      11分,       698,       774,     116/-,     211/216/224,       326/337
 12,      十堰,     00:04,     00:13,       9分,       771,       852,     126/-,     225/232/239,       347/359
 13,    襄阳东,     02:27,     02:40,      13分,       914,      1023,   146.5/-,260.5/267.5/277.5,   404.5/420.5
 14,      安陆,     04:35,     04:39,       4分,      1042,      1227,   170.5/-,299.5/308.5/317.5,   464.5/483.5
 15,      武昌,     06:37,     07:07,      30分,      1164,      1352,   183.5/-,321.5/331.5/342.5,   502.5/521.5
 16,      阳新,     09:01,     09:04,       3分,      1308,      1501,   198.5/-,347.5/357.5/369.5,   542.5/562.5
 17,      南昌,     12:28,     12:39,      11分,      1515,      1707,     215/-,     377/389/401,       592/615
 18,      鹰潭,     14:26,     14:40,      14分,      1633,      1851,     227/-,     395/407/421,       619/643
 19,      贵溪,     14:56,     15:01,       5分,      1663,      1872,     233/-,     404/417/431,       634/658
 20,      横峰,     15:31,     15:35,       4分,      1698,      1919,     236/-,     410/423/437,       646/672
 21,      上饶,     16:03,     16:09,       6分,      1730,      1967,     236/-,     410/423/437,       646/672
 22,      玉山,     16:31,     16:36,       5分,      1758,      1997,     241/-,     420/433/447,       660/688
 23,      金华,     18:42,     18:48,       6分,      1889,      2164,     259/-,     448/461/477,       702/731
 24,      义乌,     19:22,     19:25,       3分,      1929,      2212,     259/-,     448/461/477,       702/731
 25,      宁波,     22:45,         -,          ,      2132,      2473,   285.5/-,492.5/508.5/525.5,   776.5/808.5
