   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      武昌,         -,     18:46,         -,         -,         -,         -,               -,              -
  2,      咸宁,     19:36,     19:39,      03分,        50,         0,    12.5/-,      58.5/64/66,       89.5/101
  3,      赤壁,     20:11,     20:14,      03分,        85,         0,    18.5/-,      64.5/67/73,       97.5/110
  4,      岳阳,     21:20,     21:37,      17分,       154,         0,    32.5/-,      78.5/82/89,      118.5/134
  5,      长沙,     23:10,     23:30,      20分,       264,         0,    53.5/-,    99.5/105/108,      152.5/172
  6,      湘潭,     00:21,     00:24,      03分,       335,         0,    64.5/-,   115.5/120/123,      175.5/198
  7,      娄底,     01:32,     01:40,      08分,       406,         0,      75/-,     133/139/151,        205/231
  8,      怀化,     05:48,     05:56,      08分,       662,         0,     112/-,     194/202/219,        301/339
  9,      玉屏,     07:54,     07:59,      05分,       788,         0,     124/-,     215/224/243,        336/379
 10,      镇远,     08:52,     08:56,      04分,       846,         0,   135.5/-,   232.5/242/263,      360.5/406
 11,      凯里,     10:07,     10:13,      06分,       921,         0,   141.5/-,   244.5/254/276,      381.5/430
 12,      贵阳,     12:42,     12:54,      12分,      1076,         0,   163.5/-,   280.5/292/317,      438.5/494
 13,      安顺,     14:07,     14:13,      06分,      1161,         0,   173.5/-,   296.5/308/318,      464.5/524
 14,      六枝,     14:54,     15:00,      06分,      1208,         0,   177.5/-,   304.5/317/344,      476.5/537
 15,    六盘水,     16:28,     16:36,      08分,      1302,         0,   189.5/-,   322.5/335/364,      504.5/569
 16,      宣威,     18:38,     18:44,      06分,      1432,         0,     198/-,     337/350/381,        530/597
 17,      曲靖,     19:47,     19:53,      06分,      1501,         0,     206/-,     353/367/399,        556/627
 18,      昆明,     21:48,     21:48,      00分,      1622,         0,     217/-,     370/383/405,        585/661
