   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      昆明,         -,     10:00,         -,         -,         -,         -,               -,              -
  2,      曲靖,     11:39,     11:45,      06分,        99,         0,    23.5/-,      59.5/63/69,      105.5/119
  3,      宣威,     12:43,     12:51,      08分,       163,         0,    40.5/-,      86.5/90/98,      129.5/146
  4,    六盘水,     14:38,     14:46,      08分,       278,         0,    54.5/-,   100.5/105/114,      155.5/166
  5,      六枝,     16:03,     16:08,      05分,       363,         0,      69/-,     123/128/139,        186/210
  6,      安顺,     16:48,     16:54,      06分,       408,         0,      69/-,     133/139/151,       205/231
  7,      贵阳,     18:08,     18:22,      14分,       488,         0,      86/-,     152/158/162,        233/263
  8,      贵定,     19:22,     19:36,      14分,       562,         0,      98/-,     161/168/193,        263/296
  9,      福泉,     20:11,     20:20,      09分,       611,         0,     102/-,     168/185/201,        264/309
 10,      凯里,     21:13,     21:23,      10分,       673,         0,     112/-,     194/202/219,        301/339
 11,      怀化,     01:39,     01:59,      20分,       939,         0,   138.5/-,   238.5/248/260,      362.5/420
 12,      吉首,     03:24,     03:31,      07分,      1044,         0,   148.5/-,   254.5/265/288,      398.5/449
 13,    张家界,     05:39,     05:53,      14分,      1179,         0,   163.5/-,   280.5/292/316,      438.5/494
 14,  石门县北,     08:15,     08:25,      10分,      1335,         0,   163.5/-,   296.5/308/335,      464.5/524
 15,      松滋,     09:50,     09:52,      02分,      1430,         0,   180.5/-,   310.5/323/351,      488.5/551
 16,    宜昌东,     11:08,     11:36,      28分,      1508,         0,     192/-,     328/341/361,        515/580
 17,      当阳,     12:17,     12:20,      03分,      1577,         0,     192/-,     328/341/361,        515/580
 18,      荆门,     12:57,     13:01,      04分,      1617,         0,     198/-,     336/350/381,        530/596
 19,      襄阳,     14:25,     14:25,      00分,      1705,         0,     206/-,     353/366/399,        556/626
