   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    阿克苏,         -,     18:40,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      新和,     20:48,     20:50,       2分,       128,       202,       -/-,           -/-/-,           -/-
  3,      库车,     21:21,     21:27,       6分,       161,       242,       -/-,           -/-/-,           -/-
  4,      轮台,     22:28,     22:31,       3分,      1668,       335,       -/-,           -/-/-,           -/-
  5,    库尔勒,     00:26,     00:46,      20分,       346,       524,      75/-,     133/138/142,       205/214
  6,      焉耆,     01:25,     01:27,       2分,       405,       580,       -/-,           -/-/-,           -/-
  7,      和硕,     01:56,     01:59,       3分,       436,       621,       -/-,           -/-/-,           -/-
  8,      马兰,     02:28,     02:31,       3分,       468,       663,       -/-,           -/-/-,           -/-
  9,    吐鲁番,     04:39,     05:04,      25分,       599,       858,   128.5/-,222.5/230.5/237.5,   348.5/363.5
 10,乌鲁木齐南,     06:41,         -,          ,       721,      1003,   128.5/-,222.5/230.5/237.5,   348.5/363.5
