   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      南宁,         -,     13:00,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      来宾,     15:10,     15:16,       6分,       130,       185,    28.5/-,  74.5/79.5/82.5,   113.5/119.5
  3,      柳州,     16:14,     16:20,       6分,       194,       223,    40.5/-,  86.5/91.5/94.5,   129.5/135.5
  4,    桂林北,     19:56,     20:10,      14分,       416,       387,    62.5/-,110.5/114.5/117.5,   166.5/174.5
  5,    兴安北,     20:50,     20:53,       3分,       470,       496,      69/-,     123/126/130,       186/194
  6,    全州南,     21:26,     21:29,       3分,       506,       548,      75/-,     133/138/142,       205/214
  7,    东安东,     22:13,     22:17,       4分,       553,       609,      81/-,     144/148/154,       222/231
  8,      永州,     22:43,     23:00,      17分,       583,       638,      86/-,     152/156/161,       233/244
  9,      祁东,     23:47,     00:02,      15分,       647,       700,      93/-,     163/168/174,       251/263
 10,      衡阳,     01:30,     02:03,      33分,       750,       774,     102/-,     178/184/190,       274/285
 11,    井冈山,     06:51,     07:02,      11分,      1071,       993,     124/-,     215/223/230,       336/351
 12,      吉安,     08:11,     08:21,      10分,      1151,      1084,   138.5/-,238.5/246.5/255.5,   372.5/388.5
 13,      新干,     09:15,     09:26,      11分,      1215,      1170,   141.5/-,244.5/252.5/261.5,   381.5/398.5
 14,      向塘,     10:36,     11:08,      32分,      1296,      1282,   156.5/-,270.5/279.5/288.5,   422.5/440.5
 15,      九江,     12:53,     13:08,      15分,      1433,      1445,   173.5/-,296.5/306.5/317.5,   464.5/484.5
 16,      黄州,     14:51,     14:54,       3分,      1551,      1601,   189.5/-,322.5/333.5/343.5,   504.5/527.5
 17,      麻城,     15:34,     15:37,       3分,      1594,      1668,     192/-,     328/339/351,       515/537
 18,      阜阳,     18:04,     18:14,      10分,      1744,      1904,     213/-,     363/375/388,       572/598
 19,      亳州,     19:36,     19:39,       3分,      1836,      2008,     224/-,     381/393/407,       598/625
 20,    商丘南,     20:26,     20:30,       4分,      1886,      2072,     229/-,     389/403/416,       613/640
 21,      定陶,     21:22,     21:24,       2分,      1942,      2254,     240/-,     408/421/436,       640/669
 22,      菏泽,     21:41,     21:47,       6分,      1961,      2275,     240/-,     408/421/436,       640/669
 23,      济宁,     22:53,     23:01,       8分,      2033,      2382,     251/-,     426/441/456,       673/703
 24,      兖州,     23:30,     23:53,      23分,      2070,      2414,     251/-,     426/441/456,       673/703
 25,      泰山,     00:49,     00:52,       3分,      2149,      2497,   254.5/-,434.5/449.5/464.5,   687.5/717.5
 26,      济南,     01:50,     02:12,      22分,      2210,      2570,   263.5/-,446.5/462.5/477.5,   704.5/735.5
 27,      淄博,     03:16,     03:20,       4分,      2296,      2680,   273.5/-,463.5/480.5/496.5,   734.5/767.5
 28,      潍坊,     04:23,     04:27,       4分,      2363,      2674,   278.5/-,471.5/488.5/506.5,   747.5/780.5
 29,    青岛北,     06:04,     06:18,      14分,      2464,      2842,   293.5/-,497.5/515.5/533.5,   786.5/822.5
 30,      青岛,     06:41,         -,          ,      2501,      2857,   293.5/-,497.5/515.5/533.5,   786.5/822.5
