   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      长春,         -,     19:09,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,    公主岭,     19:47,     19:49,       2分,        32,        62,    12.5/-,  58.5/63.5/66.5,     87.5/93.5
  3,      四平,     20:28,     20:30,       2分,        73,       115,    18.5/-,  64.5/69.5/72.5,    97.5/103.5
  4,      昌图,     21:03,     21:05,       2分,       108,       168,    24.5/-,  70.5/75.5/78.5,   108.5/114.5
  5,      开原,     21:25,     21:27,       2分,       130,       199,    29.5/-,  75.5/80.5/83.5,   115.5/121.5
  6,      铁岭,     21:49,     21:51,       2分,       154,       233,    37.5/-,  83.5/85.5/91.5,   125.5/131.5
  7,    沈阳北,     22:41,     22:49,       8分,       206,       300,    43.5/-,  89.5/94.5/97.5,   135.5/141.5
  8,      锦州,     01:21,     01:29,       8分,       366,       533,      75/-,     133/138/142,       205/214
  9,    葫芦岛,     02:02,     02:05,       3分,       413,       583,      81/-,     144/148/154,       222/231
 10,      兴城,     02:21,     02:23,       2分,       426,       604,      81/-,     144/148/154,       222/231
 11,    山海关,     03:38,     03:55,      17分,       503,       717,      98/-,     171/175/182,       263/275
 12,    秦皇岛,     04:13,     04:16,       3分,       538,       733,      98/-,     171/176/182,       263/275
 13,      唐山,     06:10,     06:28,      18分,       655,       895,     115/-,     200/206/214,       312/325
 14,      天津,     08:16,     08:38,      22分,       781,      1018,   128.5/-,222.5/230.5/237.5,   348.5/363.5
 15,    霸州西,     10:26,     10:28,       2分,       917,      1113,   141.5/-,244.5/252.5/261.5,   381.5/398.5
 16,    白洋淀,     10:54,     10:56,       2分,       945,      1155,   148.5/-,254.5/263.5/272.5,   398.5/415.5
 17,      徐水,     11:12,     11:14,       2分,       963,      1178,   148.5/-,254.5/263.5/272.5,   398.5/415.5
 18,      保定,     11:32,     11:38,       6分,       983,      1202,   152.5/-,261.5/270.5/279.5,   409.5/427.5
 19,      定州,     12:15,     12:17,       2分,      1026,      1262,   156.5/-,270.5/279.5/288.5,   422.5/440.5
 20,    石家庄,     13:09,     13:15,       6分,      1080,      1337,   163.5/-,280.5/289.5/299.5,   438.5/456.5
 21,      安阳,     15:50,     16:08,      18分,      1241,      1558,   189.5/-,322.5/333.5/343.5,   504.5/527.5
 22,      新乡,     17:13,     17:36,      23分,      2764,      1665,     198/-,     337/349/361,       530/552
 23,      焦作,     18:26,     18:29,       3分,      2837,      1728,     201/-,     343/355/367,       542/566
 24,      月山,     18:47,     18:50,       3分,      2858,      1744,     201/-,     343/355/367,       542/566
 25,      关林,     20:43,     21:03,      20分,      2974,      1873,     213/-,     363/375/388,       572/598
 26,  平顶山西,     22:35,     22:39,       4分,      3086,      1992,     224/-,     381/393/407,       598/625
 27,      南召,     23:30,     23:33,       3分,      3141,      2056,     229/-,     389/403/416,       613/640
 28,      南阳,     00:15,     00:18,       3分,      1746,      2114,     236/-,     399/414/428,       629/656
 29,      襄阳,     02:08,     02:28,      20分,      1859,      2243,     243/-,     414/429/444,       654/684
 30,      荆门,     03:51,     03:55,       4分,      1962,      2367,   254.5/-,434.5/449.5/464.5,   687.5/717.5
 31,  石门县北,     07:04,     07:12,       8分,      2155,      2596,   273.5/-,463.5/480.5/496.5,   734.5/767.5
 32,    张家界,     08:50,     09:03,      13分,      2261,      2714,   285.5/-,483.5/499.5/516.5,   761.5/796.5
 33,      吉首,     11:10,     11:16,       6分,      2401,      2839,   293.5/-,497.5/515.5/533.5,   786.5/822.5
 34,      怀化,     13:59,     14:17,      18分,      2570,      2942,   299.5/-,507.5/524.5/542.5,   802.5/838.5
 35,      凯里,     18:34,     18:43,       9分,      4285,      3211,     317/-,     536/555/575,       849/887
 36,      福泉,     19:32,     19:49,      17分,      4343,      3271,     323/-,     546/566/585,       863/901
 37,      贵阳,     21:52,     22:22,      30分,      4483,      3399,     335/-,     566/585/606,       896/937
 38,      安顺,     23:25,     23:43,      18分,      4576,      3496,     341/-,     576/596/617,       911/952
 39,      六枝,     00:24,     00:32,       8分,      3195,      3552,     348/-,     586/607/628,       927/969
 40,    六盘水,     02:00,     02:18,      18分,      3291,      3648,     352/-,     595/616/637,       940/982
 41,      宣威,     04:05,     04:11,       6分,      3416,      3779,     360/-,     606/628/649,      961/1003
 42,      曲靖,     05:09,     05:17,       8分,      3480,      3880,     365/-,     615/638/660,      976/1019
 43,      昆明,     07:52,         -,          ,      3643,      4037,   376.5/-,635.5/658.5/680.5, 1008.5/1055.5
