   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      兰州,         -,     21:30,         -,         -,         -,         -,               -,              -
  2,      古浪,     00:33,     00:36,      03分,       183,         0,    40.5/-,      86.5/90/98,      129.5/146
  3,    武威南,     01:16,     01:21,      05分,       226,         0,    43.5/-,     89.5/93/101,      135.5/153
  4,      武威,     01:36,     01:49,      13分,       246,         0,    43.5/-,     89.5/93/101,      135.5/153
  5,      金昌,     02:32,     02:36,      04分,       302,         0,    53.5/-,    99.5/104/113,      152.5/172
  6,      山丹,     04:14,     04:17,      03分,       404,         0,      72/-,     129/134/146,        197/204
  7,      张掖,     04:53,     04:58,      05分,       443,         0,      75/-,     133/139/151,        205/231
  8,      临泽,     05:40,     05:42,      02分,       490,         0,      81/-,     144/150/163,        222/251
  9,      高台,     06:05,     06:07,      02分,       515,         0,      86/-,     152/158/172,        233/263
 10,      清水,     06:54,     06:56,      02分,       564,         0,      93/-,     163/170/184,        251/283
 11,      酒泉,     07:40,     07:51,      11分,       610,         0,     102/-,     178/184/190,        274/285
 12,    嘉峪关,     08:10,     08:10,      00分,       640,         0,     102/-,     178/185/201,        274/285
