   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      南通,         -,     18:42,         -,         -,         -,         -,               -,              -
  2,    海安县,     19:23,     19:27,      04分,        41,         0,    12.5/-,      58.5/61/66,        87.5/99
  3,      泰州,     20:01,     20:04,      03分,        79,         0,    18.5/-,      64.5/67/73,       97.5/110
  4,      扬州,     20:44,     20:47,      03分,       122,         0,    28.5/-,      74.5/78/85,      113.5/128
  5,      南京,     21:52,     22:10,      18分,       190,         0,    43.5/-,     89.5/93/101,      135.5/153
  6,    马鞍山,     23:09,     23:12,      03分,       267,         0,    53.5/-,    99.5/104/113,      152.5/172
  7,      芜湖,     23:59,     00:05,      06分,       317,         0,    62.5/-,   110.5/115/125,      166.5/188
  8,      铜陵,     01:27,     01:31,      04分,       405,         0,      69/-,     123/128/139,        186/210
  9,      池州,     02:33,     02:38,      05分,       471,         0,      75/-,     133/139/151,        205/231
 10,      九江,     04:52,     05:11,      19分,       610,         0,      98/-,     171/178/193,        263/297
 11,      新余,     08:36,     08:40,      04分,       834,         0,   135.5/-,   232.5/242/263,      360.5/406
 12,      萍乡,     09:55,     10:00,      05分,       913,         0,   148.5/-,   254.5/265/288,      398.5/449
 13,      醴陵,     10:25,     10:28,      03分,       943,         0,   148.5/-,   254.5/265/288,      398.5/449
 14,      株洲,     10:58,     11:12,      14分,       976,         0,   152.5/-,   261.5/272/296,      409.5/462
 15,      湘潭,     11:37,     11:42,      05分,      1015,         0,   156.5/-,   268.5/279/303,      422.5/476
 16,      娄底,     12:49,     12:56,      07分,      1087,         0,   168.5/-,   288.5/300/326,      450.5/508
 17,      溆浦,     15:38,     15:40,      02分,      1256,         0,   189.5/-,   322.5/335/364,      504.5/569
 18,      怀化,     17:05,     17:21,      16分,      1343,         0,     198/-,     337/350/381,        530/597
 19,      凯里,     21:10,     21:16,      06分,      1588,         0,     217/-,     370/385/418,        585/659
 20,      贵阳,     23:44,     00:04,      20分,      1742,         0,     236/-,     399/415/451,        629/709
 21,      安顺,     01:33,     01:38,      05分,      1851,         0,     243/-,     414/430/468,        654/737
 22,      六枝,     02:19,     02:24,      05分,      1897,         0,     251/-,     426/443/481,        673/758
 23,    六盘水,     03:52,     04:02,      10分,      1990,         0,   254.5/-,   434.5/452/491,      687.5/775
 24,      宣威,     06:01,     06:09,      08分,      2119,         0,   268.5/-,   455.5/473/514,      718.5/810
 25,      曲靖,     07:28,     07:37,      09分,      2206,         0,   273.5/-,   463.5/482/523,      734.5/828
 26,      昆明,     09:33,     09:33,      00分,      2331,         0,   290.5/-,   491.5/511/555,      775.5/874
