   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      成都,         -,     11:03,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      遂宁,     12:51,     13:23,      32分,       108,       148,    23.5/-,  59.5/64.5/67.5,    94.5/100.5
  3,      南充,     14:06,     14:12,       6分,       183,       215,    36.5/-,  71.5/75.5/77.5,   110.5/114.5
  4,      蓬安,     14:39,     14:44,       5分,       216,       255,    46.5/-,  82.5/86.5/89.5,   126.5/130.5
  5,      营山,     14:56,     15:01,       5分,       233,       273,    50.5/-,  89.5/94.5/96.5,   136.5/140.5
  6,      达州,     16:11,     16:21,      10分,       308,       373,    64.5/-,114.5/118.5/121.5,   178.5/183.5
  7,      万源,     17:54,     17:56,       2分,       411,       499,      81/-,     159/165/170,       244/252
  8,      安康,     19:21,     19:40,      19分,       498,       650,     104/-,     190/194/200,       290/300
  9,      十堰,     22:25,     22:30,       5分,       682,       852,     126/-,     225/232/239,       347/359
 10,      襄阳,     00:35,     00:51,      16分,       812,      1022,   146.5/-,260.5/267.5/277.5,   404.5/420.5
 11,      信阳,     03:41,     03:56,      15分,       998,      1262,   173.5/-,305.5/314.5/325.5,   476.5/494.5
 12,      息县,     04:58,     05:03,       5分,      1075,      1335,   176.5/-,311.5/320.5/331.5,   485.5/504.5
 13,      潢川,     05:32,     05:42,      10分,      1109,      1366,   183.5/-,321.5/331.5/342.5,   502.5/521.5
 14,      商城,     06:08,     06:15,       7分,      1145,      1407,   187.5/-,328.5/338.5/349.5,   513.5/533.5
 15,      固始,     06:33,     06:38,       5分,      1170,      1429,   187.5/-,328.5/338.5/349.5,   513.5/533.5
 16,      合肥,     09:01,     09:22,      21分,      1318,      1893,     208/-,     363/374/387,       568/590
 17,      南京,     11:51,     11:57,       6分,      1488,      2049,     241/-,     427/443/457,       671/698
 18,      常州,     13:48,     13:53,       5分,      1605,      2185,     253/-,     445/461/475,       699/728
 19,      无锡,     14:20,     14:24,       4分,      1637,      2224,     256/-,     451/467/483,       710/738
 20,      苏州,     14:52,     14:57,       5分,      1669,      2266,     262/-,     460/477/493,       725/753
 21,      上海,     16:24,         -,          ,      1761,      2063,     265/-,     466/483/499,       737/767
