   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      济南,         -,     21:39,         -,         -,         -,         -,               -,              -
  2,      泰山,     22:31,     22:34,      03分,        52,         0,       0/-,           0/0/0,            0/0
  3,      兖州,     23:46,     23:50,      04分,       127,         0,    23.5/-,      69.5/73/79,      105.5/119
  4,      徐州,     02:37,     02:49,      12分,       298,         0,    46.5/-,     92.5/97/105,      140.5/159
  5,      蚌埠,     04:41,     04:52,      11分,       422,         0,      69/-,     123/128/139,        186/210
  6,      合肥,     07:10,     07:25,      15分,       571,         0,      86/-,     152/158/172,        233/263
  7,      庐江,     08:18,     08:28,      10分,       639,         0,      93/-,     163/170/184,        251/283
  8,      桐城,     08:56,     08:59,      03分,       677,         0,      98/-,     171/178/193,        263/297
  9,    安庆西,     09:37,     09:54,      17分,       718,         0,     102/-,     178/185/201,        274/309
 10,    天柱山,     10:25,     10:43,      18分,       766,         0,     105/-,     184/191/208,        285/321
 11,      太湖,     11:09,     11:12,      03分,       810,         0,     112/-,     194/202/219,        301/339
 12,      宿松,     11:40,     11:43,      03分,       841,         0,     115/-,     200/208/226,        312/352
 13,      黄梅,     12:01,     12:04,      03分,       862,         0,     115/-,     200/208/226,        312/352
 14,      九江,     13:02,     13:23,      21分,       923,         0,     124/-,     215/224/243,        336/379
 15,      德安,     13:57,     14:01,      04分,       978,         0,   128.5/-,   222.5/231/252,      348.5/393
 16,      新余,     17:05,     17:09,      04分,      1166,         0,   152.5/-,   261.5/272/296,      409.5/462
 17,      分宜,     17:29,     17:32,      03分,      1190,         0,   156.5/-,   268.5/279/303,      422.5/476
 18,      宜春,     17:50,     17:55,      05分,      1211,         0,   156.5/-,   268.5/279/303,      422.5/476
 19,      萍乡,     18:39,     18:45,      06分,      1260,         0,   168.5/-,   288.5/300/326,      450.5/508
 20,      醴陵,     19:10,     19:14,      04分,      1291,         0,   173.5/-,   296.5/308/335,      464.5/524
 21,      株洲,     19:52,     20:02,      10分,      1333,         0,   173.5/-,   296.5/308/335,      464.5/524
 22,      湘潭,     20:32,     20:38,      06分,      1373,         0,   177.5/-,   304.5/317/344,      476.5/537
 23,      娄底,     21:47,     22:02,      15分,      1448,         0,   189.5/-,   322.5/335/364,      504.5/569
 24,    双峰北,     22:27,     22:29,      02分,      1488,         0,   189.5/-,   322.5/335/364,      504.5/569
 25,      邵东,     22:58,     23:00,      02分,      1519,         0,     192/-,     328/341/371,        515/580
 26,      邵阳,     23:22,     23:28,      06分,      1543,         0,     198/-,     337/350/381,        530/597
 27,      永州,     01:11,     01:31,      20分,      1652,         0,     201/-,     343/357/387,        542/611
 28,      道州,     02:58,     03:03,      05分,      1759,         0,     213/-,     363/377/410,        572/645
 29,      江华,     03:39,     03:44,      05分,      1800,         0,     217/-,     370/385/418,        585/659
 30,      贺州,     04:57,     05:20,      23分,      1878,         0,     229/-,     389/404/439,        613/691
 31,      梧州,     07:16,     07:22,      06分,      2017,         0,     240/-,     408/424/461,        640/721
 32,      岑溪,     08:26,     08:30,      04分,      2087,         0,     243/-,     414/430/468,        654/737
 33,      容县,     09:06,     09:11,      05分,      2127,         0,     251/-,     426/443/481,        673/758
 34,      北流,     09:33,     09:43,      10分,      2154,         0,     251/-,     426/443/481,        673/758
 35,      玉林,     10:30,     10:54,      24分,      2211,         0,     251/-,     426/443/481,        673/758
 36,      贵港,     11:55,     12:00,      05分,      2296,         0,   263.5/-,   446.5/464/504,      704.5/794
 37,      南宁,     14:30,     14:30,      00分,      2451,         0,   273.5/-,   463.5/482/523,      734.5/828
