   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      汕头,         -,     20:51,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      潮州,     21:21,     21:27,       6分,        30,        37,       9/-,        23/26/26,     30.5/30.5
  3,      揭阳,     21:47,     21:53,       6分,        56,        62,    17.5/-,  35.5/38.5/38.5,     49.5/50.5
  4,      兴宁,     00:00,     00:05,       5分,       189,       162,    34.5/-,  64.5/68.5/69.5,     93.5/97.5
  5,      龙川,     01:28,     01:46,      18分,       277,       232,    39.5/-,  73.5/76.5/77.5,   107.5/111.5
  6,      河源,     02:42,     02:48,       6分,       351,       307,    55.5/-,97.5/101.5/104.5,   146.5/152.5
  7,      惠州,     03:48,     03:53,       5分,       417,       387,    62.5/-,108.5/115.5/117.5,   165.5/172.5
  8,    东莞东,     04:42,     04:48,       6分,       471,       441,    69.5/-,122.5/126.5/130.5,   183.5/190.5
  9,      广州,     06:00,     06:18,      18分,       549,       535,      91/-,     156/163/167,       236/246
 10,      佛山,     06:42,     06:44,       2分,       591,       557,     100/-,     174/182/187,       262/273
 11,      肇庆,     09:12,     09:16,       4分,       741,       644,     107/-,     190/200/205,       293/306
 12,    茂名东,     14:13,     14:35,      22分,      1042,       896,     143/-,     244/256/263,       378/394
 13,      茂名,     14:48,     14:54,       6分,      1077,       906,     143/-,     244/256/263,       378/394
 14,      化州,     15:16,     15:19,       3分,      1105,       927,     144/-,     245/257/264,       381/397
 15,      廉江,     16:00,     16:03,       3分,      1149,       976,     154/-,     260/271/278,       401/418
 16,      遂溪,     16:23,     16:26,       3分,      1172,      1001,   158.5/-,267.5/277.5/285.5,   411.5/429.5
 17,      湛江,     17:10,         -,          ,      1219,      1028,   161.5/-,273.5/283.5/291.5,   422.5/439.5
