   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      上海,         -,     09:16,         -,         -,         -,         -,               -,              -
  2,      昆山,     09:51,     09:55,      04分,        35,         0,      11/-,        57/60/65,        83.5/95
  3,      苏州,     10:19,     10:23,      04分,        63,         0,    14.5/-,      60.5/63/69,       90.5/102
  4,      无锡,     10:51,     10:55,      04分,        95,         0,    19.5/-,      65.5/68/74,       99.5/113
  5,      常州,     11:22,     11:26,      04分,       126,         0,    24.5/-,      70.5/74/80,      108.5/123
  6,      南京,     12:57,     13:05,      08分,       221,         0,    46.5/-,     92.5/97/105,      140.5/159
  7,    滁州北,     13:46,     13:49,      03分,       270,         0,    51.5/-,    97.5/102/110,      149.5/169
  8,      明光,     14:32,     14:35,      03分,       316,         0,    62.5/-,   110.5/115/125,      166.5/188
  9,      蚌埠,     15:25,     15:31,      06分,       369,         0,      69/-,     123/128/139,        186/210
 10,      宿州,     17:06,     17:09,      03分,       470,         0,      78/-,     139/145/157,        214/242
 11,      徐州,     18:12,     18:18,      06分,       536,         0,      91/-,     158/165/179,        243/274
 12,    枣庄西,     19:06,     19:09,      03分,       590,         0,      98/-,     171/178/193,        263/297
 13,      滕州,     19:31,     19:34,      03分,       615,         0,     102/-,     178/185/201,        274/309
 14,      邹城,     20:02,     20:06,      04分,       646,         0,     105/-,     184/191/208,        285/321
 15,      兖州,     20:21,     20:26,      05分,       665,         0,     105/-,     184/191/208,        285/321
 16,      磁窑,     21:00,     21:03,      03分,       704,         0,     115/-,     200/208/226,        312/352
 17,      泰山,     21:28,     21:31,      03分,       732,         0,       0/-,           0/0/0,            0/0
 18,      济南,     22:49,     23:13,      24分,       813,         0,     124/-,     215/224/243,        336/379
 19,      天津,     03:42,     03:50,      08分,      1106,         0,   163.5/-,   280.5/292/317,      438.5/494
 20,      唐山,     05:23,     05:39,      16分,      1207,         0,   173.5/-,   296.5/308/335,      464.5/524
 21,    山海关,     07:57,     08:03,      06分,      1361,         0,     192/-,     328/341/371,        515/580
 22,    沈阳北,     11:39,     11:49,      10分,      1583,         0,     224/-,     381/396/430,        598/674
 23,      铁岭,     12:30,     12:32,      02分,      1634,         0,     236/-,     399/415/451,        629/709
 24,      昌图,     13:11,     13:13,      02分,      1675,         0,     240/-,     408/424/461,        640/721
 25,      四平,     14:08,     14:20,      12分,      1732,         0,     240/-,     408/424/461,        640/721
 26,    公主岭,     14:53,     14:55,      02分,      1777,         0,     243/-,     414/430/468,        654/737
 27,      长春,     15:39,     15:39,      00分,      1823,         0,     251/-,     426/443/481,        673/758
