   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      西安,         -,     14:54,         -,         -,         -,         -,               -,              -
  2,      韦庄,     16:28,     16:31,      03分,        94,         0,       0/-,           0/0/0,            -/-
  3,    合阳北,     17:26,     17:28,      02分,       152,         0,    15.5/-,      49.5/52/56,            -/-
  4,      韩城,     18:12,     18:12,      00分,       198,         0,    18.5/-,      52.5/55/60,            -/-
