   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    重庆北,         -,     10:06,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      广安,     11:23,     11:28,       5分,        77,       131,    21.5/-,  67.5/72.5/75.5,   102.5/108.5
  3,      渠县,     11:56,     12:00,       4分,       110,       169,    24.5/-,  70.5/75.5/78.5,   108.5/114.5
  4,      达州,     12:53,     13:06,      13分,       167,       242,    40.5/-,  86.5/91.5/94.5,   129.5/135.5
  5,      宣汉,     13:46,     13:48,       2分,       220,       290,    43.5/-,  89.5/94.5/97.5,   135.5/141.5
  6,      万源,     14:44,     14:46,       2分,       278,       367,    53.5/-,99.5/104.5/107.5,   152.5/158.5
  7,      安康,     16:15,     16:21,       6分,       369,       518,      72/-,     129/132/136,       197/204
  8,      十堰,     19:07,     19:10,       3分,       541,       720,      98/-,     171/176/182,       263/275
  9,      襄阳,     21:17,     21:40,      23分,       671,       891,     115/-,     200/206/214,       312/325
 10,      信阳,     00:38,     00:53,      15分,       872,      1130,   141.5/-,244.5/252.5/261.5,   381.5/398.5
 11,      潢川,     02:28,     02:34,       6分,       982,      1234,   152.5/-,261.5/270.5/279.5,   409.5/427.5
 12,      合肥,     05:21,     05:56,      35分,      1155,      1474,   177.5/-,304.5/315.5/325.5,   476.5/497.5
 13,      南京,     07:37,     07:43,       6分,      1291,      1630,     209/-,     366/381/393,       579/604
 14,      常州,     09:04,     09:07,       3分,      1378,      1766,     221/-,     384/399/413,       606/632
 15,      无锡,     09:35,     09:39,       4分,      1409,      1805,     227/-,     393/409/423,       621/647
 16,      苏州,     10:07,     10:11,       4分,      1441,      1847,     230/-,     399/415/429,       633/661
 17,      上海,     11:10,         -,          ,      1504,      1931,     235/-,     409/425/439,       647/677
