   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      敦煌,         -,     09:12,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      瓜州,     10:28,     10:30,       2分,        76,       102,    16.5/-,  62.5/67.5/70.5,    96.5/102.5
  3,      玉门,     12:18,     12:20,       2分,       186,       231,    37.5/-,  83.5/88.5/91.5,   125.5/131.5
  4,    嘉峪关,     13:50,     14:05,      15分,       278,       363,    53.5/-,99.5/104.5/107.5,   152.5/158.5
  5,      酒泉,     14:24,     14:26,       2分,       312,       385,    54.5/-,100.5/105.5/108.5,   155.5/161.5
  6,      张掖,     16:30,     16:34,       4分,       438,       586,      81/-,     144/148/154,       222/231
  7,      山丹,     17:07,     17:09,       2分,       475,       639,      86/-,     152/156/161,       233/244
  8,      金昌,     18:33,     18:35,       2分,       561,       756,     102/-,     178/184/190,       274/285
  9,      武威,     19:38,     19:44,       6分,       626,       830,     112/-,     194/200/208,       301/315
 10,    武威南,     19:59,     20:01,       2分,       647,       843,     112/-,     194/200/208,       301/315
 11,      古浪,     20:37,     20:39,       2分,       685,       889,     115/-,     200/206/214,       312/325
 12,      永登,     21:57,     21:59,       2分,       765,      1022,   135.5/-,232.5/240.5/247.5,   360.5/377.5
 13,      兰州,     23:33,     23:49,      16分,       861,      1133,   141.5/-,244.5/252.5/261.5,   381.5/398.5
 14,      陇西,     01:59,     02:02,       3分,      1007,      1335,   163.5/-,280.5/289.5/299.5,   438.5/456.5
 15,      天水,     04:06,     04:11,       5分,      1134,      1481,   177.5/-,304.5/315.5/325.5,   476.5/497.5
 16,      宝鸡,     07:02,     07:10,       8分,      1292,      1636,     192/-,     328/339/351,       515/537
 17,    蔡家坡,     07:27,     07:38,      11分,      1335,      1679,     198/-,     337/349/361,       530/552
 18,      武功,     08:12,     08:16,       4分,      1380,      1736,       -/-,           -/-/-,           -/-
 19,      咸阳,     08:49,     09:03,      14分,      1417,      1786,     206/-,     353/365/377,       556/582
 20,      西安,     09:27,         -,          ,      1455,      1809,     206/-,     353/365/377,       556/582
