   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      成都,         -,     17:52,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      遂宁,     19:25,     19:49,      24分,        93,       148,       -/-,           -/-/-,           -/-
  3,      潼南,     20:42,     20:44,       2分,       170,       200,       -/-,           -/-/-,           -/-
  4,    重庆北,     21:58,     22:20,      22分,       246,       317,    46.5/-, 92.5/97.5/100.5,   140.5/146.5
  5,      涪陵,     23:30,     23:36,       6分,       338,       417,       -/-,           -/-/-,           -/-
  6,      秀山,     03:50,     03:56,       6分,       598,       723,       -/-,           -/-/-,           -/-
  7,      铜仁,     05:03,     05:22,      19分,       671,       826,       -/-,           -/-/-,           -/-
  8,      怀化,     06:46,     07:01,      15分,       774,       919,       -/-,           -/-/-,           -/-
  9,      会同,     08:48,     08:54,       6分,       896,      1009,       -/-,           -/-/-,           -/-
 10,      靖州,     09:29,     09:35,       6分,       937,      1048,       -/-,           -/-/-,           -/-
 11,      通道,     10:24,     10:28,       4分,       992,      1079,       -/-,           -/-/-,           -/-
 12,      融安,     13:08,     13:14,       6分,      1156,      1217,       -/-,           -/-/-,           -/-
 13,      柳州,     15:44,     15:51,       7分,      1312,      1370,   168.5/-,288.5/298.5/307.5,   450.5/470.5
 14,      来宾,     17:04,     17:09,       5分,      1392,      1440,       -/-,           -/-/-,           -/-
 15,      玉林,     19:59,     20:17,      18分,      1567,      1648,       -/-,           -/-/-,           -/-
 16,      河唇,     21:46,     21:50,       4分,      1674,      1762,       -/-,           -/-/-,           -/-
 17,      化州,     22:29,     22:34,       5分,      1717,      1802,       -/-,           -/-/-,           -/-
 18,      茂名,     22:56,     23:02,       6分,      1744,      1823,       -/-,           -/-/-,           -/-
 19,      肇庆,     02:58,     03:02,       4分,      1986,      2087,       -/-,           -/-/-,           -/-
 20,      佛山,     04:25,     04:32,       7分,      2073,      2174,       -/-,           -/-/-,           -/-
 21,      广州,     05:04,     05:20,      16分,      2112,      2196,   254.5/-,434.5/449.5/464.5,   687.5/717.5
 22,    深圳西,     07:34,         -,          ,      2262,      2358,   254.5/-,434.5/449.5/464.5,   687.5/717.5
