   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    深圳东,         -,     18:03,         -,         -,         -,         -,               -,              -
  2,    东莞东,     18:39,     18:45,      06分,        36,         0,    26.5/-,      48.5/51/55,        69.5/79
  3,      惠州,     19:28,     19:32,      04分,        85,         0,    34.5/-,      60.5/63/69,       88.5/100
  4,      河源,     20:25,     20:28,      03分,       142,         0,    45.5/-,      79.5/83/90,      116.5/132
  5,      龙川,     21:25,     21:28,      03分,       202,         0,    56.5/-,    98.5/103/112,      146.5/165
  6,      赣州,     00:38,     00:42,      04分,       395,         0,      95/-,     163/170/184,        250/282
  7,      吉安,     02:49,     02:54,      05分,       526,         0,     121/-,     207/215/234,        321/362
  8,      向塘,     04:54,     05:23,      29分,       651,         0,     146/-,     244/254/276,        380/428
  9,      庐山,     06:56,     07:01,      05分,       773,         0,       0/-,           0/0/0,            0/0
 10,      九江,     07:17,     07:28,      11分,       794,         0,   168.5/-,   281.5/293/318,      437.5/493
 11,      黄梅,     08:29,     08:32,      03分,       866,         0,   172.5/-,   288.5/300/326,      448.5/506
 12,      宿松,     08:50,     08:53,      03分,       887,         0,   175.5/-,   294.5/306/333,      459.5/518
 13,      太湖,     09:21,     09:24,      03分,       918,         0,   175.5/-,   294.5/306/333,      459.5/518
 14,    安庆西,     10:22,     10:25,      03分,       979,         0,   185.5/-,   310.5/323/351,      486.5/548
 15,      桐城,     10:59,     11:02,      03分,      1016,         0,   189.5/-,   317.5/330/359,      498.5/562
 16,      合肥,     13:24,     13:54,      30分,      1161,         0,   206.5/-,   343.5/357/388,      535.5/604
 17,      蚌埠,     16:10,     16:50,      40分,      1327,         0,   219.5/-,   365.5/380/413,      573.5/646
 18,    滁州北,     18:15,     18:19,      04分,      1452,         0,     227/-,     379/394/428,        597/673
 19,      扬州,     19:40,     19:43,      03分,      1537,         0,     244/-,     407/423/460,        639/720
 20,      江都,     20:02,     20:05,      03分,      1559,         0,     244/-,     407/423/460,        639/720
 21,      泰州,     20:30,     20:30,      00分,      1587,         0,     248/-,     415/431/469,        651/734
