   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    北京西,         -,     07:36,         -,         -,         -,         -,               -,              -
  2,      涿州,     08:20,     08:22,      02分,        44,         0,    12.5/-,      58.5/61/66,        87.5/99
  3,    高碑店,     08:36,     08:38,      02分,        60,         0,    14.5/-,      60.5/63/69,       90.5/102
  4,      保定,     09:16,     09:22,      06分,       100,         0,    23.5/-,      69.5/73/79,      104.5/118
  5,      定州,     09:59,     10:01,      02分,       143,         0,    32.5/-,      78.5/82/89,      118.5/134
  6,    石家庄,     10:53,     10:59,      06分,       197,         0,    43.5/-,     89.5/93/101,      135.5/153
  7,      临城,     11:36,     11:48,      12分,       240,         0,    51.5/-,    97.5/102/110,      149.5/169
  8,      安阳,     13:43,     13:43,      00分,       367,         0,      72/-,     129/134/146,        197/222
