   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,  齐齐哈尔,         -,     10:51,         -,         -,         -,         -,               -,              -
  2,    大民屯,     11:02,     11:06,      04分,        11,         0,       0/-,           0/0/0,            0/0
  3,   昂昂溪,     11:22,     11:24,      02分,        31,         0,       4/-,           -/-/-,           -/-
  4,富拉尔基,     11:38,     11:40,      02分,        47,         0,       5/-,           -/-/-,           -/-
  5,    白山乡,     12:07,     12:09,      02分,        76,         0,       0/-,           0/0/0,            0/0
  6,      龙江,     12:19,     12:21,      02分,        88,         0,       7/-,           -/-/-,           -/-
  7,   碾子山,     12:48,     12:48,      00分,       117,         0,     9.5/-,           -/-/-,           -/-
